更新时间,#genre#
2026-01-31 00:58:15,#genre#

央视频道,#genre#
CCTV15,http://183.220.107.138:4022/rtp/239.11.0.26:5140
CCTV16,http://223.93.142.35:4022/rtp/233.50.201.192:5140
CCTV16,http://223.93.142.35:4022/rtp/233.50.200.112:5140
CCTV16,http://223.93.142.35:4022/rtp/233.50.201.63:5140
CCTV16,http://171.122.196.44:8085/rtp/226.0.2.169:9264
CCTV17,http://223.93.142.35:4022/rtp/233.50.200.113:5140
CCTV17,http://171.122.196.44:8085/rtp/226.0.2.170:9272
CCTV17,http://115.171.216.84:4000/rtp/225.1.8.17:8144
CCTV17,http://183.220.107.138:4022/rtp/239.11.0.107:5140
CCTV4K,http://223.93.142.35:4022/rtp/233.50.201.226:5140
兵器科技,http://171.122.196.44:8085/rtp/226.0.2.223:9696
风云音乐,http://171.122.196.44:8085/rtp/226.0.2.220:9672
风云足球,http://171.122.196.44:8085/rtp/226.0.2.225:9712
风云剧场,http://171.122.196.44:8085/rtp/226.0.2.227:9728
风云剧场,http://183.220.107.138:4022/rtp/239.10.0.203:5140
怀旧剧场,http://171.122.196.44:8085/rtp/226.0.2.224:9704
第一剧场,http://171.122.196.44:8085/rtp/226.0.2.221:9680
女性时尚,http://171.122.196.44:8085/rtp/226.0.2.226:9720
世界地理,http://171.122.196.44:8085/rtp/226.0.2.222:9688
央视台球,http://171.122.196.44:8085/rtp/226.0.2.216:9640
高尔夫网球,http://183.220.107.138:4022/rtp/239.10.0.224:5140
央视文化精品,http://171.122.196.44:8085/rtp/226.0.2.219:9664
电视指南,http://171.122.196.44:8085/rtp/226.0.2.218:9656
国学频道,http://171.122.196.44:8085/rtp/226.0.2.116:8840
环球奇观,http://171.122.196.44:8085/rtp/226.0.2.111:8800

卫视频道,#genre#
湖南卫视,http://223.93.142.35:4022/rtp/233.50.200.190:5140
湖南卫视,http://223.93.142.35:4022/rtp/233.50.201.103:5140
湖南卫视,http://171.122.196.44:8085/rtp/226.0.2.143:9056
湖南卫视,http://115.171.216.84:4000/rtp/225.1.8.41:8012
湖南卫视,http://183.220.107.138:4022/rtp/239.11.0.119:5140
浙江卫视,http://223.93.142.35:4022/rtp/233.50.200.231:5140
浙江卫视,http://223.93.142.35:4022/rtp/233.50.201.100:5140
浙江卫视,http://223.93.142.35:4022/rtp/233.50.200.145:5140
浙江卫视,http://171.122.196.44:8085/rtp/226.0.2.144:9064
浙江卫视,http://115.171.216.84:4000/rtp/225.1.8.46:8036
浙江卫视,http://183.220.107.138:4022/rtp/239.11.0.70:5140
江苏卫视,http://223.93.142.35:4022/rtp/233.50.200.144:5140
江苏卫视,http://223.93.142.35:4022/rtp/233.50.201.106:5140
江苏卫视,http://171.122.196.44:8085/rtp/226.0.2.176:9320
江苏卫视,http://115.171.216.84:4000/rtp/225.1.8.44:8028
江苏卫视,http://183.220.107.138:4022/rtp/239.11.0.76:5140
东方卫视,http://223.93.142.35:4022/rtp/233.50.201.125:5140
东方卫视,http://223.93.142.35:4022/rtp/233.50.200.146:5140
东方卫视,http://171.122.196.44:8085/rtp/226.0.2.175:9312
东方卫视,http://115.171.216.84:4000/rtp/225.1.8.45:8032
东方卫视,http://183.220.107.138:4022/rtp/239.11.0.68:5140
深圳卫视,http://223.93.142.35:4022/rtp/233.50.201.101:5140
深圳卫视,http://223.93.142.35:4022/rtp/233.50.200.188:5140
深圳卫视,http://171.122.196.44:8085/rtp/226.0.2.147:9088
深圳卫视,http://115.171.216.84:4000/rtp/225.1.8.43:8020
深圳卫视,http://183.220.107.138:4022/rtp/239.11.0.71:5140
北京卫视,http://223.93.142.35:4022/rtp/233.50.201.107:5140
北京卫视,http://223.93.142.35:4022/rtp/233.50.200.179:5140
北京卫视,http://171.122.196.44:8085/rtp/226.0.2.177:9328
北京卫视,http://115.171.216.84:4000/rtp/225.1.8.21:8002
北京卫视,http://183.220.107.138:4022/rtp/239.11.0.121:5140
广东卫视,http://223.93.142.35:4022/rtp/233.50.201.102:5140
广东卫视,http://223.93.142.35:4022/rtp/233.50.200.187:5140
广东卫视,http://223.93.142.35:4022/rtp/233.50.200.149:5140
广东卫视,http://223.93.142.35:4022/rtp/233.50.200.126:5140
广东卫视,http://171.122.196.44:8085/rtp/226.0.2.146:9080
广东卫视,http://115.171.216.84:4000/rtp/225.1.8.49:8048
广东卫视,http://183.220.107.138:4022/rtp/239.11.0.115:5140
广西卫视,http://223.93.142.35:4022/rtp/233.50.200.136:5140
广西卫视,http://171.122.196.44:8085/rtp/226.0.2.231:9760
广西卫视,http://183.220.107.138:4022/rtp/239.11.0.48:5140
东南卫视,http://223.93.142.35:4022/rtp/233.50.200.135:5140
东南卫视,http://223.93.142.35:4022/rtp/233.50.201.146:5140
东南卫视,http://171.122.196.44:8085/rtp/226.0.2.188:9416
东南卫视,http://115.171.216.84:4000/rtp/225.1.8.79:8148
东南卫视,http://183.220.107.138:4022/rtp/239.11.0.41:5140
